INDEX_BARANG,NAMA_BARANG,INDEX_WARNA,NAMA_WARNA,Gudang O,,
93,1680D BR,174,Aqua,2,,1
91,1680D EX ,324,BYG,2,,1
91,1680D EX ,325,ORG,2,,1
157,ADRIANO,176,Black,2,,1
157,ADRIANO,461,Coffee,2,,1
157,ADRIANO,471,"F,GREEN",2,,1
157,ADRIANO,150,RED,2,,1
49,Altamond,36,937 Midnight Blue,2,,1
125,Amadeus,338,Almond,2,,1
125,Amadeus,155,Cream,2,,1
125,Amadeus,403,Racing Red,2,,1
125,Amadeus,315,Silver,2,,1
37,Argon,215,238 Navy,2,,1
37,Argon,38,238/924 Navy,2,,1
37,Argon,146,240 Onyx A,2,,1
37,Argon,63,242/710 Titanium,2,,1
37,Argon,66,274 Wood,2,,1
45,Arten,205,10,2,,1
45,Arten,346,11,2,,1
45,Arten,233,80,2,,1
45,Arten,277,81,2,,1
45,Arten,265,90,2,,1
45,Arten,431,91,2,,1
45,Arten,347,205,2,,1
45,Arten,328,232,2,,1
45,Arten,319,233,2,,1
178,BELLA,175,Brown,2,,1
178,BELLA,344,DARK BROWN,2,,1
178,BELLA,157,Grey,2,,1
178,BELLA,521,LEMON GREEN,2,,1
77,Bellinostripe,233,80,2,,1
77,Bellinostripe,265,90,2,,1
77,Bellinostripe,339,141,2,,1
16,Benang Nylon 30 Rollan,138,Mix,2,,1
16,Benang Nylon 30 Rollan,254,n/a.,2,,1
16,Benang Nylon 30 Rollan,161,NI. 30 N Hitam,2,,1
16,Benang Nylon 30 Rollan,132,NI.30 09 Abu Gold,2,,1
16,Benang Nylon 30 Rollan,119,NI.30 A Magenta,2,,1
16,Benang Nylon 30 Rollan,120,NI.30 B Merah Cabai,2,,1
16,Benang Nylon 30 Rollan,121,NI.30 C Orange,2,,1
16,Benang Nylon 30 Rollan,127,NI.30 E Nugget,2,,1
16,Benang Nylon 30 Rollan,122,NI.30 F Coklat,2,,1
16,Benang Nylon 30 Rollan,124,NI.30 Fm Coklat Muda,2,,1
16,Benang Nylon 30 Rollan,125,NI.30 Fmr Coklat Kemerahan,2,,1
16,Benang Nylon 30 Rollan,123,NI.30 Ft Coklat Tua / Kopi,2,,1
16,Benang Nylon 30 Rollan,126,NI.30 G Kuning,2,,1
16,Benang Nylon 30 Rollan,160,NI.30 Ht Cream,2,,1
16,Benang Nylon 30 Rollan,130,NI.30 L Abu Tua,2,,1
16,Benang Nylon 30 Rollan,133,NI.30 Lt Abu Tua,2,,1
16,Benang Nylon 30 Rollan,128,NI.30 Q Hijau Muda,2,,1
16,Benang Nylon 30 Rollan,131,NI.30 X Ungu,2,,1
16,Benang Nylon 30 Rollan,129,NI.30 Y Turquoise Muda / Tosca,2,,1
96,BG Nylon CONES No. 8 ,138,Mix,2,,1
97,BG Nylon No.8,138,Mix,2,,1
112,BJ CN,442,21,2,,1
112,BJ CN,431,91,2,,1
112,BJ CN,438,94,2,,1
112,BJ CN,144,105,2,,1
112,BJ CN,290,135,2,,1
112,BJ CN,110,140,2,,1
112,BJ CN,317,147,2,,1
112,BJ CN,466,166,2,,1
112,BJ CN,396,308 ,2,,1
112,BJ CN,506,342,2,,1
112,BJ CN,467,448,2,,1
112,BJ CN,463,500,2,,1
112,BJ CN,532,512,2,,1
112,BJ CN,374,520,2,,1
112,BJ CN,375,530,2,,1
112,BJ CN,464,730,2,,1
112,BJ CN,395,898,2,,1
112,BJ CN,397,904 (BJ CN),2,,1
112,BJ CN,465,A81,2,,1
40,Brentwood,47,241 Raven,2,,1
40,Brentwood,63,242/710 Titanium,2,,1
40,Brentwood,34,243 Marble,2,,1
40,Brentwood,66,274 Wood,2,,1
40,Brentwood,136,276 Almond,2,,1
76,Busa DG ,68,1.3 x 100 x 200 cm,2,,1
76,Busa DG ,69,2.3 x 100 x 200 cm,2,,1
76,Busa DG ,70,3.3 x 100 x 200 cm,2,,1
76,Busa DG ,71,5.3 x 100 x 200 cm,2,,1
152,Busa EFV Density 16 Soft Calcium,452,200 x 90 x 45 cm,2,,1
5,Busa LG,67,0.8 x 100 x 200 cm,2,,1
5,Busa LG,240,05 x 120 x 200,2,,1
5,Busa LG,171,09 x 100 x 200,2,,1
5,Busa LG,232,09 X 90 X 200,2,,1
5,Busa LG,68,1.3 x 100 x 200 cm,2,,1
5,Busa LG,389,10 x 120 x 200 cm,2,,1
5,Busa LG,336,10 x 90 x 200,2,,1
5,Busa LG,220,12 x 90 x 200 cm,2,,1
5,Busa LG,91,14 x 160 x 200 cm,2,,1
5,Busa LG,87,14 x 80 x 200 cm,2,,1
5,Busa LG,69,2.3 x 100 x 200 cm,2,,1
5,Busa LG,70,3.3 x 100 x 200 cm,2,,1
5,Busa LG,264,5 x 120 x 200,2,,1
5,Busa LG,71,5.3 x 100 x 200 cm,2,,1
5,Busa LG,72,7.3 x 100 x 200 cm,2,,1
5,Busa LG,361,8 x 90 x 200 cm,2,,1
5,Busa LG,194,9 X 80 X 200,2,,1
5,Busa LG,73,9.3 x 100 x 200 cm,2,,1
